"Statistic Label","CensusYear","Sex","At Work School or College","Time Leaving Home","Means of Travel","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Train, DART or LUAS","Number","49"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Motorcycle or scooter","Number","2"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Motor car: Driver","Number","35"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Motor car: Passenger","Number","502"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Van","Number","6"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Other, incl. lorry","Number","6"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","Not stated","Number","8"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Before 06:30","All means of travel","Number","1319"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","On foot","Number","130"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Bicycle","Number","48"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Bus, minibus or coach","Number","1128"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Train, DART or LUAS","Number","294"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Motorcycle or scooter","Number","5"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Motor car: Driver","Number","76"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Motor car: Passenger","Number","559"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Van","Number","14"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Other, incl. lorry","Number","6"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","Not stated","Number","22"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","06:30 - 07:00","All means of travel","Number","2282"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","On foot","Number","394"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Bicycle","Number","202"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Bus, minibus or coach","Number","7693"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Train, DART or LUAS","Number","905"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Motorcycle or scooter","Number","4"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Motor car: Driver","Number","170"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Motor car: Passenger","Number","2552"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Van","Number","25"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Other, incl. lorry","Number","10"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","Not stated","Number","56"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:01 - 07:30","All means of travel","Number","12011"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","On foot","Number","5965"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Bicycle","Number","2795"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Bus, minibus or coach","Number","28090"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Train, DART or LUAS","Number","1540"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Motorcycle or scooter","Number","41"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Motor car: Driver","Number","834"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Motor car: Passenger","Number","17882"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Van","Number","88"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Other, incl. lorry","Number","43"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","Not stated","Number","333"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","07:31 - 08:00","All means of travel","Number","57611"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","On foot","Number","21984"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Bicycle","Number","6824"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Bus, minibus or coach","Number","11183"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Train, DART or LUAS","Number","393"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Motorcycle or scooter","Number","69"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Motor car: Driver","Number","1815"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Motor car: Passenger","Number","42643"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Van","Number","146"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Other, incl. lorry","Number","68"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","Not stated","Number","537"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:01 - 08:30","All means of travel","Number","85662"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","On foot","Number","8315"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Bicycle","Number","1368"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Bus, minibus or coach","Number","1477"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Train, DART or LUAS","Number","107"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Motorcycle or scooter","Number","28"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Motor car: Driver","Number","663"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Motor car: Passenger","Number","11150"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Van","Number","46"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Other, incl. lorry","Number","31"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","Not stated","Number","183"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","08:31 - 09:00","All means of travel","Number","23368"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","On foot","Number","249"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Bicycle","Number","61"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Bus, minibus or coach","Number","214"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Train, DART or LUAS","Number","28"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Motorcycle or scooter","Number","3"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Motor car: Driver","Number","30"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Motor car: Passenger","Number","411"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Van","Number","2"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Other, incl. lorry","Number","4"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","Not stated","Number","11"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","09:01 - 09:30","All means of travel","Number","1013"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","On foot","Number","361"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Bicycle","Number","81"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Bus, minibus or coach","Number","342"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Train, DART or LUAS","Number","82"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Motorcycle or scooter","Number","3"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Motor car: Driver","Number","57"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Motor car: Passenger","Number","318"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Van","Number","0"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Other, incl. lorry","Number","2"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","Not stated","Number","15"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","After 09:30","All means of travel","Number","1261"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","On foot","Number","872"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Bicycle","Number","153"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Bus, minibus or coach","Number","580"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Train, DART or LUAS","Number","75"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Motorcycle or scooter","Number","0"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Motor car: Driver","Number","63"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Motor car: Passenger","Number","839"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Van","Number","7"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Other, incl. lorry","Number","45"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","Not stated","Number","10346"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged between 13 and 18 years","Not stated","All means of travel","Number","12980"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","On foot","Number","17051"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Bicycle","Number","5401"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Bus, minibus or coach","Number","22369"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Train, DART or LUAS","Number","7387"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Motorcycle or scooter","Number","350"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Motor car: Driver","Number","22229"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Motor car: Passenger","Number","7768"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Van","Number","419"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Other, incl. lorry","Number","124"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","Not stated","Number","9675"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","All departure times","All means of travel","Number","92773"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","On foot","Number","177"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Bicycle","Number","88"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Bus, minibus or coach","Number","624"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Train, DART or LUAS","Number","226"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Motorcycle or scooter","Number","8"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Motor car: Driver","Number","565"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Motor car: Passenger","Number","148"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Van","Number","42"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Other, incl. lorry","Number","3"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","Not stated","Number","11"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Before 06:30","All means of travel","Number","1892"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","On foot","Number","244"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Bicycle","Number","153"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Bus, minibus or coach","Number","2537"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Train, DART or LUAS","Number","784"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Motorcycle or scooter","Number","17"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Motor car: Driver","Number","1927"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Motor car: Passenger","Number","403"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Van","Number","81"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Other, incl. lorry","Number","2"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","Not stated","Number","26"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","06:30 - 07:00","All means of travel","Number","6174"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","On foot","Number","237"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Bicycle","Number","156"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Bus, minibus or coach","Number","2922"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Train, DART or LUAS","Number","847"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Motorcycle or scooter","Number","13"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Motor car: Driver","Number","1993"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Motor car: Passenger","Number","565"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Van","Number","75"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Other, incl. lorry","Number","6"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","Not stated","Number","16"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:01 - 07:30","All means of travel","Number","6830"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","On foot","Number","1343"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Bicycle","Number","657"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Bus, minibus or coach","Number","5743"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Train, DART or LUAS","Number","1797"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Motorcycle or scooter","Number","62"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Motor car: Driver","Number","5183"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Motor car: Passenger","Number","1718"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Van","Number","80"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Other, incl. lorry","Number","19"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","Not stated","Number","61"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","07:31 - 08:00","All means of travel","Number","16663"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","On foot","Number","3687"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Bicycle","Number","1184"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Bus, minibus or coach","Number","3018"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Train, DART or LUAS","Number","1035"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Motorcycle or scooter","Number","81"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Motor car: Driver","Number","4859"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Motor car: Passenger","Number","2275"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Van","Number","60"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Other, incl. lorry","Number","15"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","Not stated","Number","58"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:01 - 08:30","All means of travel","Number","16272"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","On foot","Number","6116"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Bicycle","Number","1378"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Bus, minibus or coach","Number","3118"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Train, DART or LUAS","Number","1062"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Motorcycle or scooter","Number","80"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Motor car: Driver","Number","3967"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Motor car: Passenger","Number","1315"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Van","Number","34"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Other, incl. lorry","Number","20"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","Not stated","Number","66"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","08:31 - 09:00","All means of travel","Number","17156"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","On foot","Number","1004"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Bicycle","Number","351"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Bus, minibus or coach","Number","738"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Train, DART or LUAS","Number","293"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Motorcycle or scooter","Number","15"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Motor car: Driver","Number","643"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Motor car: Passenger","Number","319"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Van","Number","11"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Other, incl. lorry","Number","1"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","Not stated","Number","14"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","09:01 - 09:30","All means of travel","Number","3389"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","On foot","Number","3447"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Bicycle","Number","1222"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Bus, minibus or coach","Number","2762"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Train, DART or LUAS","Number","1023"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Motorcycle or scooter","Number","67"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Motor car: Driver","Number","2031"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Motor car: Passenger","Number","686"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Van","Number","12"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Other, incl. lorry","Number","11"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","Not stated","Number","26"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","After 09:30","All means of travel","Number","11287"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","On foot","Number","796"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Bicycle","Number","212"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Bus, minibus or coach","Number","907"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Train, DART or LUAS","Number","320"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Motorcycle or scooter","Number","7"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Motor car: Driver","Number","1061"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Motor car: Passenger","Number","339"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Van","Number","24"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Other, incl. lorry","Number","47"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","Not stated","Number","9397"
"Population Usually Resident and Present in the State","2022","Male","Students at school or college aged 19 years and over","Not stated","All means of travel","Number","13110"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","On foot","Number","226961"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Bicycle","Number","25034"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Bus, minibus or coach","Number","166418"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Train, DART or LUAS","Number","42392"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Motorcycle or scooter","Number","1492"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Motor car: Driver","Number","642569"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Motor car: Passenger","Number","291058"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Van","Number","3975"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Other, incl. lorry","Number","1383"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","Not stated","Number","119788"
"Population Usually Resident and Present in the State","2022","Female","All persons","All departure times","All means of travel","Number","1521070"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","On foot","Number","5893"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Bicycle","Number","1098"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Bus, minibus or coach","Number","7532"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Train, DART or LUAS","Number","2677"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Motorcycle or scooter","Number","149"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Motor car: Driver","Number","37055"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Motor car: Passenger","Number","5043"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Van","Number","393"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Other, incl. lorry","Number","98"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","Not stated","Number","209"
"Population Usually Resident and Present in the State","2022","Female","All persons","Before 06:30","All means of travel","Number","60147"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","On foot","Number","9003"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Bicycle","Number","1828"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Bus, minibus or coach","Number","17140"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Train, DART or LUAS","Number","6921"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Motorcycle or scooter","Number","170"
"Population Usually Resident and Present in the State","2022","Female","All persons","06:30 - 07:00","Motor car: Driver","Number","69130"
